        #psi         z0.         z1.        z10.       z100.      z1000.     z10000.        z-1.       z-10.      z-100.     z-1000.    z-10000.
  141.63E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  147.75E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  154.14E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  160.81E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  167.76E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  175.02E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  182.59E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  190.48E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  198.72E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  207.31E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  216.28E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  225.63E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  235.39E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  245.57E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  256.19E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  267.26E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  278.82E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  290.88E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  303.46E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  316.58E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  330.27E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  344.55E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  359.45E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  375.00E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  391.21E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  408.13E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  425.78E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  444.19E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  463.40E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  483.44E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  504.35E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  526.16E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  548.91E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  572.65E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  597.41E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  623.24E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  650.20E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  678.31E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
